epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0473,1.89362,1.66474,1.21595,0.72594,0.44314,0.4919,0.2404,1.62166,1.07869,1.10672,0.00332919,0.00332919,0.00332919
2,110.439,1.70345,1.12213,1.09223,0.75567,0.4642,0.52228,0.26057,1.60491,0.95714,1.08239,0.00662955,0.00662955,0.00662955
3,163.244,1.71121,1.06842,1.08419,0.7301,0.44579,0.50015,0.24735,1.6454,1.07708,1.10722,0.0098969,0.0098969,0.0098969
4,215.871,1.69154,1.03116,1.08378,0.74399,0.43816,0.4974,0.25445,1.59116,0.97393,1.07558,0.0098515,0.0098515,0.0098515
5,268.401,1.64688,0.96907,1.06753,0.76308,0.47248,0.53591,0.27749,1.5543,0.89999,1.06247,0.009802,0.009802,0.009802
6,321.224,1.62671,0.93624,1.05864,0.77744,0.49357,0.55617,0.28732,1.52695,0.84227,1.05898,0.0097525,0.0097525,0.0097525
7,373.967,1.60047,0.91029,1.05003,0.79056,0.49552,0.56614,0.29533,1.50085,0.82775,1.04657,0.009703,0.009703,0.009703
8,426.207,1.57667,0.88763,1.04438,0.80208,0.50333,0.5809,0.3084,1.50028,0.80619,1.04631,0.0096535,0.0096535,0.0096535
9,478.82,1.57141,0.87444,1.03838,0.79778,0.50713,0.57794,0.30474,1.49077,0.77566,1.04236,0.009604,0.009604,0.009604
10,531.142,1.55574,0.86303,1.03652,0.78943,0.50826,0.58104,0.30771,1.4818,0.77967,1.03905,0.0095545,0.0095545,0.0095545
11,583.222,1.54631,0.85259,1.03232,0.79432,0.51554,0.58421,0.30757,1.48176,0.77456,1.03312,0.009505,0.009505,0.009505
12,635.614,1.54034,0.84671,1.02576,0.8119,0.52292,0.60089,0.31956,1.45238,0.74485,1.03187,0.0094555,0.0094555,0.0094555
13,687.914,1.52976,0.83407,1.03065,0.8089,0.51511,0.59463,0.31707,1.4647,0.75447,1.02859,0.009406,0.009406,0.009406
14,740.396,1.52758,0.82699,1.02647,0.81239,0.52973,0.60775,0.32224,1.44855,0.73556,1.02396,0.0093565,0.0093565,0.0093565
15,792.937,1.52584,0.82586,1.02186,0.81142,0.53222,0.60717,0.32236,1.44139,0.73292,1.02149,0.009307,0.009307,0.009307
16,845.116,1.50597,0.81308,1.01821,0.80887,0.53469,0.60956,0.3282,1.43129,0.7232,1.01892,0.0092575,0.0092575,0.0092575
17,897.146,1.49903,0.80886,1.01595,0.80583,0.53747,0.61451,0.32972,1.43904,0.72571,1.02532,0.009208,0.009208,0.009208
18,949.783,1.50762,0.80888,1.01482,0.81844,0.53731,0.61559,0.33082,1.42571,0.71379,1.01891,0.0091585,0.0091585,0.0091585
19,1002.02,1.50689,0.80676,1.01501,0.8208,0.54346,0.62004,0.33293,1.42553,0.70579,1.01635,0.009109,0.009109,0.009109
20,1054.24,1.49578,0.79652,1.01297,0.82149,0.54572,0.62186,0.33546,1.41381,0.70083,1.01754,0.0090595,0.0090595,0.0090595
21,1106.56,1.49157,0.79589,1.01152,0.82147,0.54966,0.62873,0.33833,1.41432,0.69174,1.01592,0.00901,0.00901,0.00901
22,1159.23,1.4945,0.79588,1.01052,0.82398,0.54456,0.62417,0.33604,1.40889,0.69522,1.00943,0.0089605,0.0089605,0.0089605
23,1211.65,1.48391,0.78827,1.00702,0.82707,0.54751,0.62735,0.33727,1.40586,0.6914,1.00996,0.008911,0.008911,0.008911
24,1264.03,1.49257,0.79183,1.00662,0.82403,0.5529,0.62892,0.34059,1.40598,0.68828,1.00789,0.0088615,0.0088615,0.0088615
25,1316.42,1.48511,0.78411,1.00617,0.82273,0.55502,0.63184,0.34095,1.40036,0.68366,1.00946,0.008812,0.008812,0.008812
26,1368.61,1.47986,0.78038,1.00644,0.8203,0.55406,0.6295,0.337,1.40416,0.68408,1.0041,0.0087625,0.0087625,0.0087625
27,1420.87,1.46958,0.77425,1.00351,0.82398,0.55683,0.63686,0.34329,1.40154,0.67716,1.00606,0.008713,0.008713,0.008713
28,1473.1,1.47829,0.77632,0.99952,0.83243,0.55522,0.63705,0.34421,1.39562,0.67004,1.00601,0.0086635,0.0086635,0.0086635
29,1525.62,1.47237,0.77332,1.00285,0.82957,0.56038,0.64248,0.34817,1.39281,0.6659,1.00498,0.008614,0.008614,0.008614
30,1578.63,1.47517,0.77212,0.99999,0.83696,0.55729,0.64102,0.34788,1.39006,0.6682,1.00323,0.0085645,0.0085645,0.0085645
31,1631.14,1.46446,0.76467,0.99601,0.8373,0.55978,0.64206,0.34611,1.39245,0.6646,1.00331,0.008515,0.008515,0.008515
32,1683.84,1.46986,0.76672,0.99749,0.83628,0.56396,0.64494,0.35034,1.38462,0.65968,1.00066,0.0084655,0.0084655,0.0084655
33,1736.21,1.46228,0.76354,1.00222,0.83556,0.56396,0.64557,0.3503,1.39033,0.65854,1.00358,0.008416,0.008416,0.008416
34,1788.49,1.45322,0.75754,0.99733,0.83926,0.56334,0.64444,0.35041,1.3847,0.65829,1.00087,0.0083665,0.0083665,0.0083665
35,1840.77,1.45354,0.75855,0.99782,0.83736,0.56608,0.64701,0.35097,1.38427,0.65528,1.00004,0.008317,0.008317,0.008317
36,1893.48,1.45981,0.75928,0.99612,0.83763,0.56469,0.64747,0.35105,1.38222,0.6577,0.99888,0.0082675,0.0082675,0.0082675
37,1946.14,1.45404,0.75474,0.99323,0.83965,0.56799,0.65072,0.35402,1.37816,0.6481,0.99838,0.008218,0.008218,0.008218
38,1998.43,1.44955,0.75198,0.99324,0.84182,0.56712,0.65019,0.35373,1.37723,0.64801,0.99909,0.0081685,0.0081685,0.0081685
39,2050.77,1.4512,0.7528,0.99434,0.84015,0.56842,0.6508,0.35471,1.37332,0.64458,0.99606,0.008119,0.008119,0.008119
40,2103.11,1.4493,0.74843,0.99353,0.84129,0.5694,0.65135,0.35518,1.37609,0.64445,0.99802,0.0080695,0.0080695,0.0080695
